year,district,rainfall_mm,temperature,humidity,flood
2018,Kottayam,250,27.0,88,1
2018,Idukki,325,24.3,88,1
2018,Ernakulam,250,27.0,88,1
2018,Thrissur,250,27.0,88,1
2018,Palakkad,175,29.7,88,1
2018,Malappuram,250,27.0,88,1
2018,Kozhikode,250,27.0,88,1
2018,Wayanad,325,24.3,88,1
2018,Kannur,250,27.0,88,1
2018,Kasaragod,250,27.0,88,1
2019,Thiruvananthapuram,180,26.5,85,0
2019,Kollam,180,26.5,85,0
2019,Pathanamthitta,180,26.5,85,1
2019,Alappuzha,180,26.5,85,1
2019,Kottayam,180,26.5,85,1
2019,Idukki,234,23.9,85,1
2019,Ernakulam,180,26.5,85,1
2019,Thrissur,180,26.5,85,1
2019,Palakkad,125,29.2,85,1
2019,Malappuram,180,26.5,85,1
2019,Kozhikode,180,26.5,85,1
2019,Wayanad,234,23.9,85,1
2019,Kannur,180,26.5,85,1
2019,Kasaragod,180,26.5,85,1
2020,Thiruvananthapuram,195,27.5,84,0
2020,Kollam,195,27.5,84,0
2020,Pathanamthitta,195,27.5,84,1
2020,Alappuzha,195,27.5,84,1
2020,Kottayam,195,27.5,84,1
2020,Idukki,253,24.8,84,1
2020,Ernakulam,195,27.5,84,1
2020,Thrissur,195,27.5,84,1
2020,Palakkad,136,30.3,84,1
2020,Malappuram,195,27.5,84,1
2020,Kozhikode,195,27.5,84,1
2020,Wayanad,253,24.8,84,1
2020,Kannur,195,27.5,84,1
2020,Kasaragod,195,27.5,84,1
2021,Thiruvananthapuram,150,28.0,81,0
2021,Kollam,150,28.0,81,0
2021,Pathanamthitta,150,28.0,81,0
2021,Alappuzha,150,28.0,81,0
2021,Kottayam,150,28.0,81,0
2021,Idukki,195,25.2,81,0
2021,Ernakulam,150,28.0,81,0
2021,Thrissur,150,28.0,81,0
2021,Palakkad,105,30.8,81,0
2021,Malappuram,150,28.0,81,0
2021,Kozhikode,150,28.0,81,0
2021,Wayanad,195,25.2,81,0
2021,Kannur,150,28.0,81,0
2021,Kasaragod,150,28.0,81,0
2022,Thiruvananthapuram,170,27.5,83,0
2022,Kollam,170,27.5,83,0
2022,Pathanamthitta,170,27.5,83,0
2022,Alappuzha,170,27.5,83,0
2022,Kottayam,170,27.5,83,0
2022,Idukki,221,24.8,83,0
2022,Ernakulam,170,27.5,83,0
2022,Thrissur,170,27.5,83,0
2022,Palakkad,118,30.3,83,0
2022,Malappuram,170,27.5,83,0
2022,Kozhikode,170,27.5,83,0
2022,Wayanad,221,24.8,83,0
2022,Kannur,170,27.5,83,0
2022,Kasaragod,170,27.5,83,0
2023,Thiruvananthapuram,160,28.0,81,0
2023,Kollam,160,28.0,81,0
2023,Pathanamthitta,160,28.0,81,0
2023,Alappuzha,160,28.0,81,0
2023,Kottayam,160,28.0,81,0
2023,Idukki,208,25.2,81,0
2023,Ernakulam,160,28.0,81,0
2023,Thrissur,160,28.0,81,0
2023,Palakkad,112,30.8,81,0
2023,Malappuram,160,28.0,81,0
2023,Kozhikode,160,28.0,81,0
2023,Wayanad,208,25.2,81,0
2023,Kannur,160,28.0,81,0
2023,Kasaragod,160,28.0,81,0
